PathwayName,StartPathwayName,StartPoint,StartPoint_in_Path?,StartPath_ID,EndPathwayName,EndPoint,EndPoint_in_Path?,EndPath_ID
Gene expression (Transcription),,,,,RUNX3 regulates NOTCH signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878243"",""HES1 gene transcription is inhibited by RUNX3"")",No,-
Gene expression (Transcription),,,,,Regulation of RUNX3 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952419"",""SMURFs ubiquitinate RUNX3"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007605"",""BRCA1 gene expression is inhibited by E2F6"")",Yes,"[39, 69]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9621242"",""CITED2 gene expression is stimulated by FOXO1,FOXO3"")",Yes,[30]
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Caspase Activators and Caspases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798081"",""TP53 family members stimulate CASP1 expression"")",Yes,[57]
Gene expression (Transcription),,,,,Transcriptional Regulation by VENTX,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8853908"",""VENTX stimulates CSF1R (M-CSF-R) expression"")",Yes,[54]
Gene expression (Transcription),,,,,B-WICH complex positively regulates rRNA expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5250938"",""B-WICH:histone acetyltransferase acetylates histone H3 at lysine-9"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 35, 44, 45, 49, 50, 53, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Caspase Activators and Caspases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798126"",""TP53 stimulates CASP6 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623072"",""POMC gene expression is inhibited by FOXO1"")",No,-
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021948"",""GPRIN1 gene expression is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3222116"",""L3MBTL1 binds TP53 monomethylated on K382"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX3 regulates NOTCH signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878212"",""JAG1 gene expression is inhibited by RUNX3"")",No,-
Gene expression (Transcription),,,,,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939088"",""CR1 gene expression is stimulated by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938121"",""SERPINB13 binds CTSK"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9023132"",""AURKB phosphorylates MECP2 at S423"")",Yes,"[23, 31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8869590"",""The APOE gene transcription is stimulated by the complex of TFAP2A homodimer and DEK"")",Yes,[26]
Gene expression (Transcription),,,,,"TET1,2,3 and TDG demethylate DNA","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5221061"",""TDG excises 5-carboxylcytosine"")",Yes,[56]
Gene expression (Transcription),,,,,RUNX2 regulates chondrocyte maturation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878266"",""IHH gene transcription is stimulated by RUNX2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 56, 68]"
Gene expression (Transcription),,,,,RUNX2 regulates genes involved in cell migration,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8940007"",""MMP13 gene expression is stimulated by RUNX2:CBFB"")",Yes,"[4, 10, 11, 19, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623023"",""AGRP gene expression is stimulated by FOXO1"")",No,-
Gene expression (Transcription),,,,,PIWI-interacting RNA (piRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5629203"",""HENMT1 methylates 2' hydroxyl at 3' end of piRNA in 4xMeR-PIWIL1:piRNA:TDRD6:TDRKH"")",Yes,[15]
Gene expression (Transcription),,,,,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864698"",""KIT gene expression is stimulated by TFAP2A,(TFAP2B) homodimers "")",Yes,[26]
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615571"",""PTEN mRNA translation is inhibited by miR-137"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9006508"",""PVALB gene expression is repressed by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Death Receptors and Ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6800035"",""IGFBP3 binds TMEM219"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805755"",""EHMT1:EHMT2 dimethylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Caspase Activators and Caspases,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798139"",""TP53 stimulates CASP10 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RNA Polymerase II Pre-transcription Events,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-113409"",""Abortive termination of early transcription elongation by DSIF:NELF"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622627"",""BCL6 gene expression is stimulated by FOXO3,FOXO4,(FOXO1)"")",Yes,[20]
Gene expression (Transcription),,,,,Transcriptional regulation by small RNAs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578742"",""AGO1,2:small RNA complexes interact with chromatin"")",Yes,"[14, 16, 31, 32, 35, 53, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Association with Co-factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804402"",""TP53 binds POU4F1"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,"TET1,2,3 and TDG demethylate DNA","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5220959"",""TDG excises 5-formylcytosine"")",Yes,[56]
Gene expression (Transcription),,,,,Oncogene Induced Senescence,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3209114"",""Translation of p16INK4A mRNA is inhibited by miR-24"")",Yes,"[7, 13]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624624"",""FBXO32 gene expression is stimulated by FOXO1,FOXO3,(FOXO4)"")",Yes,[33]
Gene expression (Transcription),,,,,Regulation of TP53 Degradation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804441"",""RNF34 or RFFL ubiquitinates phosphorylated TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9618021"",""FOXG1 binds FOXO:SMAD complexes"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Small interfering RNA (siRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106615"",""Removal of siRNA passenger strand"")",Yes,[46]
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8956676"",""YAP1 binds TP73"")",Yes,"[22, 31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8956608"",""MYB gene transcription is stimulated by the RUNX1-containing TAL1 complex"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864343"",""KCTD1 binds TFAP2 homo- and heterodimers"")",Yes,[26]
Gene expression (Transcription),,,,,TFAP2 (AP-2) family regulates transcription of other transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864729"",""PITX2 gene expression is stimulated by TFAP2A,TFAP2C homodimers:CITED2"")",Yes,"[26, 56]"
Gene expression (Transcription),,,,,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8869566"",""The MYBL2 gene expression is repressed by the complex of NPM1 and TFAP2A homodimer"")",Yes,[26]
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9620915"",""BTG1 gene expression is stimulated by FOXO3"")",No,-
Gene expression (Transcription),,,,,Notch-HLH transcription pathway,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212356"",""Formation of CSL-NICD coactivator complex"")",No,-
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6804383"",""PRMT5 methylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Transcriptional Regulation by E2F6,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9007640"",""RBBP4 gene expression is inhibited by E2F6"")",Yes,"[39, 69]"
Gene expression (Transcription),,,,,RUNX2 regulates osteoblast differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008177"",""RUNX2 binds HEY1,HEY2,HES1"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,NOTCH1 Intracellular Domain Regulates Transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1980047"",""NOTCH1 stimulates HES1 transcription"")",Yes,[51]
Gene expression (Transcription),,,,,RUNX1 regulates expression of components of tight junctions,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8935988"",""OCLN (Occludin) gene expression is stimulated by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9620813"",""RBL2 gene expression is stimulated by FOXO1,FOXO3,FOXO4"")",Yes,[64]
Gene expression (Transcription),,,,,RUNX2 regulates bone development,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878023"",""SMAD6 gene expression is stimulated by RUNX2 and SMAD1"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 56, 68]"
Gene expression (Transcription),,,,,Stabilization of p53,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6793685"",""Ubiquitinated TP53 translocates to the cytosol"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938251"",""CSF2 (GM-CSF) gene expression is stimulated by RUNX1 and CREBBP"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022456"",""MECP2 binds 5mC-DNA"")",Yes,[23]
Gene expression (Transcription),,,,,Transcriptional regulation by small RNAs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578966"",""TNRC6A:AGO2:miRNA is transported into the nucleus"")",Yes,[14]
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625863"",""RETN gene expression is stimulated by FOXO1"")",No,-
Gene expression (Transcription),,,,,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6806423"",""TP53 stimulates DDB2 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9615023"",""PLXNA4 gene expression is stimulated by FOXO6"")",Yes,[36]
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9017921"",""OPRM1 gene expression is repressed by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805109"",""CDK2 phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805126"",""AURKB phosphorylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6806392"",""TP53 stimulates MLH1 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8865505"",""SPI1 (PU.1) gene transcription is stimulated by RUNX1:CBFB:KMT2A"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Transcriptional Regulation by MECP2,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022453"",""MECP2 binds 5hmC-DNA"")",Yes,[23]
Gene expression (Transcription),,,,,TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6791363"",""TP53 stimulates ARID3A gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,MECP2 regulates transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021952"",""RBFOX1 gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Activation of the TFAP2 (AP-2) family of transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864595"",""TFAP2B homodimer binds YEATS4"")",Yes,[26]
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022728"",""FKBP5 gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9005994"",""TRPC3 gene transcription is stimulated by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625092"",""ABCA6 gene expression is stimulated by FOXO1,FOXO3"")",Yes,[60]
Gene expression (Transcription),,,,,MECP2 regulates neuronal receptors and channels,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022365"",""GRIA2 gene expression is inhibited by MECP2:SIN3A complex"")",Yes,[23]
Gene expression (Transcription),,,,,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6797763"",""TP53 inhibits BIRC5 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5633314"",""TP53 stimulates NDRG1 gene expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Cyclin A:Cdk2-associated events at S phase entry,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-187934"",""Inactivation of Cyclin A:Cdk2 complexes by p27/p21"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 67, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-70609"",""glutamine + H2O => glutamate + NH4+ [GLS]"")",Yes,"[4, 10, 11, 19, 23, 25, 27, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,PIWI-interacting RNA (piRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5601897"",""MeR-PIWIL4:2'-O-methyl-piRNA:TDRD9:MAEL:TDRKH dissociates and MeR-PIWIL4:2'-O-methylpiRNA, TDRD9, MAEL translocate from cytosol to nucleus in an unknown association and order of events"")",Yes,[15]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Association with Co-factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6799761"",""TP53 binds PPP1R13L"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8874797"",""EGFR gene expression is stimulated by TFAP2C"")",Yes,[26]
Gene expression (Transcription),,,,,Activation of PUMA and translocation to mitochondria,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-139913"",""TP53 stimulates BBC3 (PUMA) expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell cycle genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624985"",""CAV1 gene expression is stimulated by FOXO1,FOXO3"")",Yes,[21]
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in differentiation of HSCs,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8957265"",""26S proteasome degrades TP73 polyubiquitinated by ITCH"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3222237"",""SMYD2 methylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Metabolic Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5631941"",""SESN1,2,3 bind AMPK"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877493"",""TNFRSF18 (GITR) gene expression is stimulated by FOXP3 and inhibited by RUNX1"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of localization of FOXO transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614564"",""14-3-3 proteins bind AKT-phosphorylated FOXO4"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX1 regulates transcription of genes involved in WNT signaling,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8877884"",""RUNX1 and FOXP3 stimulate the RSPO3 gene expression"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,Regulation of RUNX3 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952408"",""Polyubiquitinated RUNX3 is degraded by the proteasome"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Association with Co-factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805792"",""p-S291-PHF20 translocates to cytosol"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX2 regulates osteoblast differentiation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008215"",""RUNX2 binds GLI3R"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 68]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622738"",""CAT gene expression is stimulated by FOXO3,FOXO6,(FOXO1)"")",Yes,[58]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Methylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805730"",""SETD9 methylates TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,YAP1- and WWTR1 (TAZ)-stimulated gene expression,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2032800"",""Expression of NPPA (ANF)"")",Yes,[29]
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Phosphorylation,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6798373"",""MDM2 ubiquitinates DYRK2"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,FOXO-mediated transcription of cell death genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622667"",""BBC3 gene expression is stimulated by FOXO3,(FOXO1)"")",Yes,[24]
Gene expression (Transcription),,,,,Downregulation of SMAD2/3:SMAD4 transcriptional activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187395"",""Dephosphorylated SMAD2/3 translocates to the cytosol"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of TP53 Activity through Association with Co-factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3221982"",""BANP binds TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625346"",""SREBF1 gene expression is inhibited by FOXO1"")",No,-
Gene expression (Transcription),,,,,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625693"",""TRIM63 gene expression is stimulated by FOXO1 and FOXO3"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,TP53 Regulates Transcription of DNA Repair Genes,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6806394"",""TP53 and AP-1 stimulate MSH2 expression"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,MECP2 regulates transcription of neuronal ligands,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021935"",""SST gene expression is stimulated by MECP2 and CREB1"")",Yes,[23]
Gene expression (Transcription),,,,,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938174"",""PF4 gene transcription is stimulated by RUNX1:CBFB"")",Yes,"[5, 31, 32, 56, 59, 63, 65]"
Gene expression (Transcription),,,,,MicroRNA (miRNA) biogenesis,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-5578717"",""BCDIN3D dimethylates 5' phosphate of pre-miR-145"")",Yes,[14]
Gene expression (Transcription),,,,,Regulation of RUNX2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9009362"",""Proteasome degrades PolyUb-RUNX2"")",Yes,"[4, 10, 11, 19, 44, 45, 49, 50, 56, 68]"
Gene expression (Transcription),,,,,RUNX3 regulates CDKN1A transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952128"",""RUNX3 binds TP53"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,MECP2 regulates transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9021949"",""MEF2C gene expression is inhibited by MECP2"")",Yes,[23]
Gene expression (Transcription),,,,,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3234084"",""SUMOylation of TFAP2B with SUMO1"")",Yes,[26]
Gene expression (Transcription),,,,,Regulation of localization of FOXO transcription factors,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614562"",""14-3-3 proteins bind AKT-phosphorylated FOXO3"")",Yes,"[31, 32, 59, 63, 65]"
Gene expression (Transcription),,,,,RUNX3 regulates CDKN1A transcription,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8878186"",""CDKN1A gene expression is synergistically activated by RUNX3, SMAD3 and SMAD4"")",Yes,"[4, 10, 11, 19, 23, 25, 31, 32, 44, 45, 49, 50, 56, 59, 63, 65, 68]"
Gene expression (Transcription),,,,,Regulation of MECP2 expression and activity,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9022625"",""MECP2 binds FOXG1"")",Yes,[23]
