TopLevelPathwayName,FirstLevelPathwayName,SecondLevelPathwayName,ReactionName,ReactionID
Immune System,Adaptive Immune System,Costimulation by the CD28 family,Interaction of SHP-1 or SHP-2 with phospho PD-1,R-HSA-389759
Immune System,Adaptive Immune System,Costimulation by the CD28 family,Dephosphorylation of CD3-zeta by PD-1 bound phosphatases,R-HSA-389758
Immune System,Adaptive Immune System,Costimulation by the CD28 family,Grb2 binds pBTLA,R-HSA-389919
Immune System,Adaptive Immune System,Costimulation by the CD28 family,PI3K binds ICOS,R-HSA-388830
Immune System,Adaptive Immune System,Costimulation by the CD28 family,Phosphorylation of CTLA-4,R-HSA-388833
Immune System,Adaptive Immune System,Costimulation by the CD28 family,SHP2 phosphatase binds CTLA-4,R-HSA-388829
Immune System,Adaptive Immune System,Costimulation by the CD28 family,PP2A binds CTLA4 homodimer,R-HSA-389532
Immune System,Adaptive Immune System,Costimulation by the CD28 family,CTLA-4 binds B7-1/B7-2,R-HSA-388809
Immune System,Adaptive Immune System,Costimulation by the CD28 family,Dephosphorylation of AKT by PP2A,R-HSA-390329
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTN1A1 binds xanthine oxidoreductase (XDH),R-HSA-8851044
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTN2A2 binds T cell surface,R-HSA-8851988
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTN3A1 and BTN1A1 binds periplakin (PPL),R-HSA-8938431
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTN3A1 binds prenylated phosphoantigens,R-HSA-8851038
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTNL8 binds resting T cell surface,R-HSA-8852013
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTNL9 binds immune cell surfaces,R-HSA-8851979
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTN2A1 binds DC-SIGN,R-HSA-8851018
Immune System,Adaptive Immune System,Butyrophilin (BTN) family interactions,BTNL2 binds activated T cells surface,R-HSA-8852010
Immune System,Adaptive Immune System,MHC class II antigen presentation,Transport of MHC II:Ii complex along Golgi to TGN,R-HSA-2130393
Immune System,Adaptive Immune System,MHC class II antigen presentation,MHC class II antigen processing,R-HSA-2130706
Immune System,Adaptive Immune System,MHC class II antigen presentation,Translocation of TGN-lysosome vesicle to lysosome,R-HSA-2130641
Immune System,Adaptive Immune System,MHC class II antigen presentation,Recruitment of clathrin coated vesicle by Ii,R-HSA-2130640
Immune System,Adaptive Immune System,MHC class II antigen presentation,Transport of MHC II:Ii complex to plasma membrane,R-HSA-2130378
Immune System,Adaptive Immune System,MHC class II antigen presentation,Cleavage of lip22 to lip10,R-HSA-2130504
Immune System,Adaptive Immune System,MHC class II antigen presentation,Insertion of MHC II:Ii complex in to the plasma membrane,R-HSA-2130500
Immune System,Adaptive Immune System,MHC class II antigen presentation,MHC class II antigen internalization,R-HSA-2130627
Immune System,Adaptive Immune System,MHC class II antigen presentation,Transport of antigen loaded MHC II molecules to surface,R-HSA-2213248
Immune System,Adaptive Immune System,MHC class II antigen presentation,Disassociation of CLIP from MHC II,R-HSA-2213246
Immune System,Adaptive Immune System,MHC class II antigen presentation,Loading of antigenic peptides,R-HSA-2213244
Immune System,Adaptive Immune System,MHC class II antigen presentation,TGN-lysosomal vesicle coat assembly,R-HSA-2130619
Immune System,Adaptive Immune System,MHC class II antigen presentation,LAG3 (CD233) binds MHC II,R-HSA-8856157
Immune System,Adaptive Immune System,MHC class II antigen presentation,Fusion of COPII vesicle with Golgi complex,R-HSA-2213243
Immune System,Adaptive Immune System,MHC class II antigen presentation,Reduction of disulphide bonds in MHC II antigens,R-HSA-2213240
Immune System,Adaptive Immune System,MHC class II antigen presentation,Formation of nonameric complex,R-HSA-2213241
Immune System,Adaptive Immune System,MHC class II antigen presentation,Uncoating of clathrin-coated vesicles and fusion with endosomes,R-HSA-2130486
Immune System,Adaptive Immune System,MHC class II antigen presentation,Formation of MHC II alpha beta heterodimer,R-HSA-2213239
Immune System,Adaptive Immune System,MHC class II antigen presentation,TGN-lysosome vesicle uncoating and release of nonameric complex to lysosome,R-HSA-2213236
Immune System,Adaptive Immune System,MHC class II antigen presentation,Trafficking of nonameric complex in the endocytic pathway,R-HSA-2213235
Immune System,Adaptive Immune System,MHC class II antigen presentation,Interaction of invariant chain trimer and MHC II alpha beta dimer,R-HSA-2130478
Immune System,Adaptive Immune System,MHC class II antigen presentation,Generation of CLIP from lip10,R-HSA-2130349
Immune System,Adaptive Immune System,MHC class II antigen presentation,Formation of COPII vesicle,R-HSA-2130731
Immune System,Adaptive Immune System,MHC class II antigen presentation,Internalization of MHC II:Ii clathrin coated vesicle,R-HSA-2130725
Immune System,Adaptive Immune System,MHC class II antigen presentation,Dissociation of CANX from nonameric complex,R-HSA-8951500
Immune System,Adaptive Immune System,MHC class II antigen presentation,"Dissociation of Arf1:GDP, AP-1 Clathrin coated nonameric complex",R-HSA-8951498
Immune System,Adaptive Immune System,MHC class II antigen presentation,Initial proteolyis of Ii by aspartic proteases to lip22,R-HSA-2130336
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CLEC2B binds KLRF1 dimer,R-HSA-5685608
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,MADCAM1-1 binds Integrin alpha4beta7,R-HSA-199032
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Fc gamma receptors interact with antigen-bound IgG,R-HSA-199161
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,LAIR1 binds collagen,R-HSA-5686625
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,viral HA binds NCRI,R-HSA-5685600
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CXADR binds to AMICA1,R-HSA-199093
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,SAP and EAT2 binds SLAMF6,R-HSA-5685603
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,NCR3LG1 binds NCR3,R-HSA-5685602
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,TCR binds microbial lipid-based antigen via CD1,R-HSA-8850356
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,LAIR2 binds collagen,R-HSA-5696357
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,SLAMF7 binds SLAMF7,R-HSA-5685605
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,OSCAR binds collagen and SP-D,R-HSA-5696356
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,SLAMF6 binds SLAMF6,R-HSA-5685604
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Sialic acid binds SIGLEC,R-HSA-5685607
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CD200 binds to CD200R,R-HSA-199154
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,"TREM,CD300 binds lipids",R-HSA-5696358
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CLEC2D binds KLRB1,R-HSA-5685606
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CD40L binds CD40,R-HSA-199404
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR2DL2/3 interacting with HLA-C group 1 (Cw4),R-HSA-198958
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Nectin 2 binds CD226,R-HSA-199144
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,TCR complex interacts with peptide antigen-presenting MHC Class I,R-HSA-198955
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CD96 binds PVR,R-HSA-199014
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Epithelial cadherin binds to KLRG1,R-HSA-199079
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR2DS1 interacting with HLA-C group 2 (Cw4),R-HSA-199587
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,VCAM1 binds Integrin alpha4beta1,R-HSA-198941
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,C3d-complexed antigen binds to complement receptor,R-HSA-199518
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CMVPP65 binds NCR3,R-HSA-6793275
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR2DS2 interacting with HLA-C group 1 (Cw3),R-HSA-199583
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR3DL2 interacting with HLA-A3,R-HSA-199576
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR2DL4 interacting with HLA-G,R-HSA-199579
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,PVR binds CD226,R-HSA-199131
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KLRC1:KLRD1 heterodimer interacts with HLA-E,R-HSA-199062
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,TCR binds self-lipid-based antigen via CD1,R-HSA-8850326
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,"PILRA binds PIANP, COLLEC12 trimer, NPDC1, CLEC4G",R-HSA-8862090
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR3DL1 interacting with HLA Bw4,R-HSA-199566
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,CRTAM binds to NECL2,R-HSA-199112
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,ICAM1-5 bind Integrin alphaLbeta2 (LFA-1),R-HSA-199050
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,KIR2DL1 interacting with HLA-C group 2 (Cw3),R-HSA-199558
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Ligands bind L-selectin,R-HSA-199046
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,NKG2D homodimer interacting with ligands,R-HSA-198983
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,"PILRA,PILRB bind CD99",R-HSA-8862084
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,MHC Class I interacts with CD160,R-HSA-199169
Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,LILRs interact with MHC Class I,R-HSA-199043
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CD22 binds B-cell receptor,R-HSA-5690740
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),LYN phosphorylates CD22,R-HSA-5690702
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CD22 binds itself to form homo-oligomers,R-HSA-5690669
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),SHP1 binds p-CD22,R-HSA-5690701
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),Activated IKK phosphorylates I-kappaB,R-HSA-1168638
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CARMA1:BCL10:MALT1 complex recruits TAK1 and IKK,R-HSA-1168637
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),PRKCB (PKC-beta) phosphorylates CARMA1,R-HSA-1168635
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),NF-kappaB translocates from the cytosol to the nucleus,R-HSA-1168633
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CARMA1 recruits MALT1 and BCL10 forming CBM Complex,R-HSA-1168644
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"PRKCB (Protein kinase C beta, PKC-beta) binds diacylglycerol and phosphatidylserine",R-HSA-1168373
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),SCF with beta-TrCP1 or beta-TrCP2 binds NF-kappaB:phospho-IkB,R-HSA-1168642
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),SCF-beta-TrCP ubiquitinylates IkB,R-HSA-1168643
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),Ubiquitinated IkB is degraded,R-HSA-1168640
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),TAK1 associated with the CBM complex phosphorylates IKKbeta,R-HSA-1168641
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,R-HSA-1168374
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"p-RasGRP1,3:DAG cause RAS to exchange GDP for GTP",R-HSA-1168636
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"Calcineurin dephosphorylates NFATC1,2,3",R-HSA-2025882
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"Calcineurin binds NFATC1,2,3",R-HSA-2025890
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),p-DAPP1 (p-BAM32) binds PLCG2,R-HSA-9606894
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"PI(3,4,5)P3 (PIP3) binds DAPP1 (BAM32) and DAPP1 is phosphorylated",R-HSA-9606884
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),p-CD19:VAV binds PI3K and GRB2,R-HSA-9606887
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CD19 is phosphorylated,R-HSA-9606883
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),STIM1 oligomerizes,R-HSA-1168376
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),CRAC translocates calcium from the extracellular region to the cytosol,R-HSA-434798
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"CD19 Signalosome phosphorylates PI(4,5)P2 forming PI(3,4,5)P3",R-HSA-2076220
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),The Immunoglobulin of the BCR binds antigen,R-HSA-983696
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),BTK autophosphorylates,R-HSA-9606159
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),SYK binds the activated BCR,R-HSA-983700
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),STIM1 binds TRPC1 forming STIM1:TRPC1 complex,R-HSA-2089927
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),p-6Y-SYK phosphorylates BLNK (SLP65),R-HSA-983703
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",R-HSA-9606151
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),SYK autophosphorylates at the activated BCR,R-HSA-983707
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",R-HSA-169680
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",R-HSA-983709
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),Calcium binds calmodulin,R-HSA-74448
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",R-HSA-169683
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),STIM1 activation of CRAC,R-HSA-434700
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"BLNK (SLP-65) Signalosome hydrolyzes phosphatidyinositol bisphosphate forming diacylglycerol and inositol-1,4,5-trisphosphate",R-HSA-1112666
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),TRPC1 translocates calcium from the extracellular region to the cytosol,R-HSA-2089943
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),"BCAP Signalosome phosphorylates PI(4,5)P2 forming PI(3,4,5)P3",R-HSA-2045911
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),p-PIK3AP1 (p-BCAP) binds PIK3CD:PIK3R1 (PI3K delta),R-HSA-9606160
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),p-SYK and LYN phosphorylate BTK,R-HSA-9606163
Immune System,Adaptive Immune System,Signaling by the B Cell Receptor (BCR),Phosphorylated BTK phosphorylates PLCG2,R-HSA-9606162
Immune System,Adaptive Immune System,Rap1 signalling,PKA/PKG phosphorylate Rap1GAP2,R-HSA-913996
Immune System,Adaptive Immune System,Rap1 signalling,14-3-3 proteins beta and zeta bind and inhibit Rap1Gap2,R-HSA-913993
Immune System,Adaptive Immune System,Rap1 signalling,Rap1 signal termination by Rap1GAPs,R-HSA-392513
Immune System,Adaptive Immune System,Rap1 signalling,Rap1 sequesters Raf1 to inhibit ERK cascade,R-HSA-392835
Immune System,Adaptive Immune System,Rap1 signalling,Activation of EPACs by cAMP,R-HSA-392834
Immune System,Adaptive Immune System,Rap1 signalling,Activation of Rap1 by cytosolic GEFs,R-HSA-354173
Immune System,Adaptive Immune System,Rap1 signalling,Activation of Rap1 by membrane-associated GEFs,R-HSA-939265
Immune System,Adaptive Immune System,TCR signaling,NCK binds PAK,R-HSA-430183
Immune System,Adaptive Immune System,TCR signaling,Recruitment of SLP-76 to Gads,R-HSA-202241
Immune System,Adaptive Immune System,TCR signaling,NCK recruits WASP,R-HSA-430180
Immune System,Adaptive Immune System,TCR signaling,Recruitment of ITK to SLP-76,R-HSA-202375
Immune System,Adaptive Immune System,TCR signaling,PLC-gamma1 hydrolyses PIP2,R-HSA-202407
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of TBSMs in LAT,R-HSA-202245
Immune System,Adaptive Immune System,TCR signaling,Recruitment of PLC-gamma1 to LAT,R-HSA-202212
Immune System,Adaptive Immune System,TCR signaling,p-SLP-76 binds NCK,R-HSA-430190
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of SLP-76,R-HSA-202216
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of PLC-gamma1,R-HSA-202248
Immune System,Adaptive Immune System,TCR signaling,Translocation of PLC-gamma1 to PIP2,R-HSA-202354
Immune System,Adaptive Immune System,TCR signaling,p-SLP-76 binds ADAP,R-HSA-430135
Immune System,Adaptive Immune System,TCR signaling,Recruitment of Gads to LAT,R-HSA-202325
Immune System,Adaptive Immune System,TCR signaling,Recruitment of PLC-gamma1 to SLP-76,R-HSA-202331
Immune System,Adaptive Immune System,TCR signaling,Disassociation of PLC-gamma1 from SLP-76,R-HSA-213407
Immune System,Adaptive Immune System,TCR signaling,Disassociation of PLC-gamma1 from LAT,R-HSA-213406
Immune System,Adaptive Immune System,TCR signaling,p-SLP-76:ADAP binds Ena/VASP,R-HSA-430201
Immune System,Adaptive Immune System,TCR signaling,Activation of Lck,R-HSA-202291
Immune System,Adaptive Immune System,TCR signaling,Dephosphorylation of Lck-pY505 by CD45,R-HSA-202214
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of ITAM motifs in CD3 complexes,R-HSA-202165
Immune System,Adaptive Immune System,TCR signaling,PTPN22 dissociates from CSK,R-HSA-8855375
Immune System,Adaptive Immune System,TCR signaling,Inactivation of Lck by Csk,R-HSA-202233
Immune System,Adaptive Immune System,TCR signaling,Interaction of Csk with PAG,R-HSA-203774
Immune System,Adaptive Immune System,TCR signaling,Inactivation of LCK by PTPN22,R-HSA-8852200
Immune System,Adaptive Immune System,TCR signaling,"Hydrolysis of PIP3 to PI(3,4)P2",R-HSA-202237
Immune System,Adaptive Immune System,TCR signaling,PI3K bound to TRAT1 phosphorylates PIP2 to PIP3,R-HSA-202365
Immune System,Adaptive Immune System,TCR signaling,Translocation of PKC theta to plasma membrane,R-HSA-202328
Immune System,Adaptive Immune System,TCR signaling,Oligomerization of Bcl10,R-HSA-202489
Immune System,Adaptive Immune System,TCR signaling,"26S proteasome processes K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex to form NF-kB complex",R-HSA-5607724
Immune System,Adaptive Immune System,TCR signaling,Translocation of CARMA1 to Plasma membrane,R-HSA-202394
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of Bcl10,R-HSA-202459
Immune System,Adaptive Immune System,TCR signaling,Recruitment of PI3K to plasma membrane,R-HSA-202203
Immune System,Adaptive Immune System,TCR signaling,Translocation of PDK1 to Plasma membrane,R-HSA-202164
Immune System,Adaptive Immune System,TCR signaling,Auto-ubiquitination of TRAF6,R-HSA-202453
Immune System,Adaptive Immune System,TCR signaling,"p-S177,S181-IKKB:IKKA:pUb-NEMO phosphorylates IkB-alpha:NF-kB",R-HSA-202541
Immune System,Adaptive Immune System,TCR signaling,Activation of TAK1-TAB2 complex,R-HSA-202510
Immune System,Adaptive Immune System,TCR signaling,Interaction and oligomerization of MALT1 to Bcl10,R-HSA-202478
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of PKC theta,R-HSA-202222
Immune System,Adaptive Immune System,TCR signaling,Translocation of TRAF6 to CBM complex,R-HSA-202472
Immune System,Adaptive Immune System,TCR signaling,Oligomerization of CARMA1,R-HSA-202443
Immune System,Adaptive Immune System,TCR signaling,NFKB1:RELA translocates from the cytosol to the nucleus,R-HSA-2730894
Immune System,Adaptive Immune System,TCR signaling,Activation of IKK complex,R-HSA-202500
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of CARMA1,R-HSA-202437
Immune System,Adaptive Immune System,TCR signaling,"beta-TRCP ubiquitinates IkB-alpha in p-S32,33-IkB-alpha:NF-kB complex",R-HSA-5607728
Immune System,Adaptive Immune System,TCR signaling,Ubiquitination of NEMO by TRAF6,R-HSA-202534
Immune System,Adaptive Immune System,TCR signaling,PTEN dephosphorylates PIP3,R-HSA-199456
Immune System,Adaptive Immune System,TCR signaling,Interaction of Bcl10 to CARMA1,R-HSA-202466
Immune System,Adaptive Immune System,TCR signaling,Change of PKC theta conformation,R-HSA-202307
Immune System,Adaptive Immune System,TCR signaling,PTPN22 dephosphorylates ZAP70,R-HSA-8855381
Immune System,Adaptive Immune System,TCR signaling,Recruitment of ZAP-70 to phosphorylated ITAMs,R-HSA-202344
Immune System,Adaptive Immune System,TCR signaling,Phosphorylation of ZAP-70 by Lck,R-HSA-202168
Immune System,Adaptive Immune System,TCR signaling,Activation of ZAP-70,R-HSA-202174
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,"STAT3 is phosphorylated by p-Y-JAK1,P-Y-TYK2",R-HSA-6784006
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,"p-Y-JAK1,p-Y-TYK2 phosphorylate IL10RA",R-HSA-6784324
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 dimer:2xp-Y-IL10RA:p-Y-JAK1:2xIL10RB:p-Y-TYK2 binds STAT3,R-HSA-6784323
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 negatively regulates extracellular inflammatory mediators,R-HSA-6784160
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Expression of PTGS2,R-HSA-6790029
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 dimer binds IL10RA:JAK1,R-HSA-449803
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,p-Y705-STAT3 dissociates from IL10 dimer:2xp-Y-IL10RA:p-Y-JAK1:2xIL10RB:p-Y-TYK2:p-Y705-STAT3,R-HSA-6784791
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 negatively regulates plasma membrane-associated inflammatory mediators,R-HSA-8937656
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 positively regulates extracellular inflammatory mediators,R-HSA-6785047
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 dimer:2xIL10RA1:JAK1 binds IL10RB:TYK2,R-HSA-449811
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,"JAK1,TYK2 phosphorylate JAK1,TYK2",R-HSA-6784319
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 dimerizes,R-HSA-449855
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,p-Y705-STAT3 dimerizes,R-HSA-6784765
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,p-Y705-STAT3 dimer translocates from cytosol to nucleoplasm,R-HSA-6784763
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL10 positively regulates plasma membrane-associated inflammatory mediators,R-HSA-8937654
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,HAVCR2 binds LGALS9,R-HSA-5340385
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15 binds IL15RA,R-HSA-8983307
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 phosphorylates STAT3 and STAT5,R-HSA-8983371
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,p-Y-STAT3 binds p-STAT5,R-HSA-8983373
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 phosphorylates SHC1,R-HSA-8983309
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,p-Y-STAT3 and p-STAT5 dissociates from IL15:IL15RA:IL2RB:p-JAK1:IL2RG:p-JAK3:p-Y-STAT3:p-STAT5,R-HSA-8983374
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15:IL15RA:IL2RB:JAK1:IL2RG:p-JAK3:p-Y-SHC1:GRB2 binds GAB2,R-HSA-8983425
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1:GRB2:GAB2 phosphorylates GAB2,R-HSA-8983424
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3 binds SHC1,R-HSA-8983299
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15 binds IL2RB:JAK1 and IL2RG:JAK3,R-HSA-8983298
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15:IL15RA:p-Y-IL2RB:p-Y-JAK1:p-Y-IL2RG:p-Y-JAK3:p-Y-SHC1 binds GRB2,R-HSA-8983394
Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,IL15RA:IL15:IL2RB:JAK1:IL2RG:JAK3 phosphorylates JAK3 and JAK1,R-HSA-8983300
