First_Reaction,Second_Reaction,Second_Reaction_Author,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,Cyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622579"",""FOXO1,FOXO3,(FOXO4) bind BCL2L11 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622604"",""BCL2L11 gene expression is stimulated by FOXO1,FOXO3,(FOXO4) and NF-Y"")","Orlic-Milacic, M",R-HSA-9622581,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622630"",""FOXO3,FOXO4,(FOXO1) bind BCL6 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622627"",""BCL6 gene expression is stimulated by FOXO3,FOXO4,(FOXO1)"")","Orlic-Milacic, M",R-HSA-9622662,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622668"",""FOXO3,(FOXO1) bind BBC3 gene first intron"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622667"",""BBC3 gene expression is stimulated by FOXO3,(FOXO1)"")","Orlic-Milacic, M",R-HSA-9622685,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622737"",""FOXO3,FOXO6,(FOXO1) binds CAT gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622738"",""CAT gene expression is stimulated by FOXO3,FOXO6,(FOXO1)"")","Orlic-Milacic, M",R-HSA-9622806,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622980"",""FOXO1 binds NPY gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622981"",""NPY gene expression is stimulated by FOXO1"")","Orlic-Milacic, M",R-HSA-9622979,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623018"",""FOXO1 binds AGRP gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623023"",""AGRP gene expression is stimulated by FOXO1"")","Orlic-Milacic, M",R-HSA-9623048,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623059"",""FOXO1 binds POMC gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623072"",""POMC gene expression is inhibited by FOXO1"")","Orlic-Milacic, M",R-HSA-9623080,Complex,Negative Regulator,False,AND,-1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623168"",""FOXO1,FOXO1:PPARGC1A,FOXO3,FOXO4,FOXO6 bind G6PC gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623192"",""G6PC gene expression is stimulated by FOXO1,FOXO3,FOXO4,FOXO6"")","Orlic-Milacic, M",R-HSA-9623250,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623281"",""FOXO1:PPARGC1A,FOXO4 binds PCK1 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623280"",""PCK1 gene expression is stimulated by FOXO1:PPARGC1A"")","Orlic-Milacic, M",R-HSA-9623320,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623415"",""FOXO1,FOXO3,FOXO4 bind IGFBP1 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623427"",""IGFBP1 gene expression is stimulated by FOXO1,FOXO3,FOXO4"")","Orlic-Milacic, M",R-HSA-9623423,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624611"",""FOXO1,FOXO3,(FOXO4) bind FBXO32 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624624"",""FBXO32 gene expression is stimulated by FOXO1,FOXO3,(FOXO4)"")","Orlic-Milacic, M",R-HSA-9624643,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624976"",""FOXO1,FOXO3 binds CAV1 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9624985"",""CAV1 gene expression is stimulated by FOXO1,FOXO3"")","Orlic-Milacic, M",R-HSA-9624975,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625091"",""FOXO1,FOXO3 bind ABCA6 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625092"",""ABCA6 gene expression is stimulated by FOXO1,FOXO3"")","Orlic-Milacic, M",R-HSA-9625082,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625101"",""FOXO1 and SIN3A:HDAC complex bind GCK gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625124"",""GCK gene expression is inhibited by FOXO1, SIN3A and HDACs"")","Orlic-Milacic, M",R-HSA-9625107,Complex,Negative Regulator,False,AND,-1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625324"",""FOXO1 binds SREBF1 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625346"",""SREBF1 gene expression is inhibited by FOXO1"")","Orlic-Milacic, M",R-HSA-9625360,Complex,Negative Regulator,False,AND,-1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625375"",""FOXO3,FOXO4 bind STK11 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625378"",""STK11 gene transcription is stimulated by FOXO3,FOXO4"")","Orlic-Milacic, M",R-HSA-9625394,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625378"",""STK11 gene transcription is stimulated by FOXO3,FOXO4"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6805035"",""TP53 binds STK11 and NUAK1"")","Orlic-Milacic, M",R-HSA-164119,EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625510"",""FOXO1 and p-2S-SMAD2/3:SMAD4 bind MSTN gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625520"",""MSTN gene expression is stimulated by FOXO1 and p-2S-SMAD2/3:SMAD4"")","Orlic-Milacic, M",R-HSA-9625499,Complex,Positive Regulator,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625699"",""FOXO1 and NR3C1 bind TRIM63 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625693"",""TRIM63 gene expression is stimulated by FOXO1 and FOXO3"")","Orlic-Milacic, M",R-HSA-9625735,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625749"",""FOXO1,FOXO3 and SMAD3 bind TRIM63 gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625693"",""TRIM63 gene expression is stimulated by FOXO1 and FOXO3"")","Orlic-Milacic, M",R-HSA-9625757,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625828"",""FOXO1 binds RETN gene promoter"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625863"",""RETN gene expression is stimulated by FOXO1"")","Orlic-Milacic, M",R-HSA-9625827,Complex,Positive Regulator,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626928"",""CREBBP binds FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","Orlic-Milacic, M",R-HSA-9626931,Complex,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8938231"",""RUNX1:CBFB binds CREBBP"")","Orlic-Milacic, M",R-HSA-193545,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","Orlic-Milacic, M",R-HSA-9626942,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626928"",""CREBBP binds FOXO1"")","Orlic-Milacic, M",R-HSA-193545,EntityWithAccessionedSequence,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-6797993"",""TP53 and CREBBP bind BNIP3L gene"")","Orlic-Milacic, M",R-HSA-193545,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8864307"",""TFAP2 homo- and heterodimers bind CITED and EP300/CREBBP"")","Orlic-Milacic, M",R-HSA-193545,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626945"",""CREBBP acetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-212356"",""Formation of CSL-NICD coactivator complex"")","Caudy, M",R-HSA-193545,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625510"",""FOXO1 and p-2S-SMAD2/3:SMAD4 bind MSTN gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625324"",""FOXO1 binds SREBF1 gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9617833"",""SOD2 gene expression is stimulated by FOXO4, FOXO3 and FOXO1"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623018"",""FOXO1 binds AGRP gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625828"",""FOXO1 binds RETN gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625699"",""FOXO1 and NR3C1 bind TRIM63 gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9625101"",""FOXO1 and SIN3A:HDAC complex bind GCK gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623240"",""FOXO1 binds PPARGC1A"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9622980"",""FOXO1 binds NPY gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9623059"",""FOXO1 binds POMC gene promoter"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626962"",""SIRT1 deacetylates FOXO1"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9626928"",""CREBBP binds FOXO1"")","Orlic-Milacic, M",R-HSA-199300,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-199299"",""AKT phosphorylates FOXO transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614414"",""AKT-phosphorylated FOXO1,FOXO3,FOXO4 translocate to the cytosol"")","Orlic-Milacic, M",R-HSA-199314,EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-199299"",""AKT phosphorylates FOXO transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614414"",""AKT-phosphorylated FOXO1,FOXO3,FOXO4 translocate to the cytosol"")","Orlic-Milacic, M",R-HSA-199306,EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-199299"",""AKT phosphorylates FOXO transcription factors"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9614414"",""AKT-phosphorylated FOXO1,FOXO3,FOXO4 translocate to the cytosol"")","Orlic-Milacic, M",R-HSA-199289,EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203862"",""Dicer cleaves pre-miRNA to yield duplex miRNA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106614"",""Duplex miRNA is loaded into Argonaute"")","May, B",R-HSA-6789268,Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-203862"",""Dicer cleaves pre-miRNA to yield duplex miRNA"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106614"",""Duplex miRNA is loaded into Argonaute"")","May, B",R-HSA-629638,Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209055"",""PPM1A dephosphorylates nuclear SMAD2/3"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187395"",""Dephosphorylated SMAD2/3 translocates to the cytosol"")","Orlic-Milacic, M",R-HSA-206150,EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209055"",""PPM1A dephosphorylates nuclear SMAD2/3"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2187395"",""Dephosphorylated SMAD2/3 translocates to the cytosol"")","Orlic-Milacic, M",R-HSA-3006352,EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106614"",""Duplex miRNA is loaded into Argonaute"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210805"",""Removal of miRNA passenger strand"")","May, B",R-HSA-6789269,Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106614"",""Duplex miRNA is loaded into Argonaute"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-210805"",""Removal of miRNA passenger strand"")","May, B",R-HSA-6789247,Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106625"",""Duplex siRNA is loaded into Argonaute"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106615"",""Removal of siRNA passenger strand"")","May, B",R-HSA-6789271,Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106625"",""Duplex siRNA is loaded into Argonaute"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2106615"",""Removal of siRNA passenger strand"")","May, B",R-HSA-6789259,Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-382096"",""Formation of NR-NCOR Corepressor Complex"")","Caudy, M",R-HSA-442501,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-382096"",""Formation of NR-NCOR Corepressor Complex"")","Caudy, M",R-HSA-442469,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8952419"",""SMURFs ubiquitinate RUNX3"")","Orlic-Milacic, M",R-HSA-178202,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-350058"",""Formation of CSL NCOR corepressor complex"")","Caudy, M",R-HSA-442501,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-350058"",""Formation of CSL NCOR corepressor complex"")","Caudy, M",R-HSA-442469,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186741"",""SMAD2/3 activation induces binding of RNF111/SMURF2 to SKI/SKIL"")","Orlic-Milacic, M",R-HSA-178202,EntityWithAccessionedSequence,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186741"",""SMAD2/3 activation induces binding of RNF111/SMURF2 to SKI/SKIL"")","Orlic-Milacic, M",R-HSA-2186765,EntityWithAccessionedSequence,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2179274"",""SMURF2 binds SMAD3 phosphorylated in the linker region"")","Orlic-Milacic, M",R-HSA-178202,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173481"",""SKI/SKIL binds SMAD complex, suppressing TGF-beta signaling"")","Heldin, CH",R-HSA-442501,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-173481"",""SKI/SKIL binds SMAD complex, suppressing TGF-beta signaling"")","Heldin, CH",R-HSA-442469,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186747"",""Ubiquitination of SKI/SKIL by RNF111/SMURF2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2186771"",""RNF111 binds SMAD7"")","Orlic-Milacic, M",R-HSA-2186765,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939857,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939856,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939863,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939862,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939866,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939869,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939868,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939871,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939870,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939844,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939847,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939849,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939853,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8939706"",""SCF(SKP2) polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939854,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939857,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939856,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939863,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939862,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939866,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939869,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939868,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939871,EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-3215295"",""USP7 deubiquitinates MDM2"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9008479"",""FBXW7 polyubiquitinates RUNX2"")","Orlic-Milacic, M",R-HSA-939870,EntityWithAccessionedSequence,Input,False,OR,0,False
